Genus	Species	1C (pg)	Original Reference	Paper
Torilis	leptophylla	1.35	Le et al., 1978 (Ref. 118)	1991
Echinochloa	crus-galli	1.35	Olszewska and Osiecka, 1982 (Ref. 155)	1991
Echinochloa	colonum	1.35	Bennett et al., 1998 (Ref. 375)	2000
Carthamus	dentatus	1.35	Garnatje et al., 2006 (Ref. 536)	2011
Carthamus	gypsicola	1.36	Garnatje et al., 2006 (Ref. 536)	2011
Hypochaeris	achyrophorus	1.36	Cerbah M et al., 1999 (Ref. 666)	2012
Petunia	integrifolia	1.36	Mishiba et al., 2000 (Ref. 387)	2005a
Sesamum	schinzianum	1.37	Hiremath et al., 2001 (Ref. 446)	2005a
Carthamus	tenuis	1.37	Garnatje et al., 2006 (Ref. 536)	2011
Caucalis	daucoides	1.38	Le et al., 1978 (Ref. 118)	1991
Senecio	flavus	1.38	Bennett and Smith, 1976 (Ref. 2)	1976
Sorghum	exstans	1.38	Price et al., 2005 (Ref. 511)	2011
Salicornia	europaea	1.38	Dolenc Koce et al., 2008 (Ref. 580)	2011
Limnanthes	douglasii	1.39	Hanson et al., 2001 (Ref. 379)	2005a
Petunia	occidentalis	1.39	Mishiba et al., 2000 (Ref. 387)	2005a
Carthamus	tinctorius	1.40	Garnatje et al., 2006 (Ref. 536)	2011
Phaseolus	angularis	1.40	Ayonoadu, 1974 (Ref. 28)	1976
Ionopsidium	savianum	1.40	Ceccarelli et al., 1998 (Ref. 313)	2000
Abutilon	theophrasti	1.40	Bennett et al., 1998 (Ref. 375)	2000
Veronica	hederifolia	1.41	Albach & Greilhuber, 2003 (Ref. 478)	2011
Carthamus	palaestinus	1.41	Garnatje et al., 2006 (Ref. 536)	2011
Plantago	notata	1.43	Badr et al., 1987 (Ref. 173)	1995
Nicotiana	trigonophylla	1.43	Narayan, 1987 (Ref. 199)	1995
Chenopodium	ugandae	1.43	Ohri, 2002 (Ref. 455)	2005a
Fagopyrum	sagittatum	1.44	Slomka et al., 2011 (Ref. 679)	2012
Blackstonia	perfoliata	1.45	Band, 1984 (Ref. 154)	1991
Raphanus	sativus	1.45	Olszewska and Osiecka, 1983 (Ref. 156)	1991
Sisyrinchium	micranthum	1.45	Kenton et al., 1986 (Ref. 177)	1995
Eleusine	tristachya	1.45	Hiremath and Salimath, 1991 (Ref. 218)	1995
Callitriche	regis-jubae	1.45	Pijnacker and Schotsman, 1988 (Ref. 266)	1995
Calycadenia	pauciflora	1.48	Bennett and Smith, 1976 (Ref. 2)	1976
Carthamus	boissieri	1.48	Garnatje et al., 2006 (Ref. 536)	2011
Chenopodium	quinoa	1.48	Palomino et al., 2008 (Ref. 682)	2012
Chenopodium	berlandieri	1.49	Palomino et al., 2008 (Ref. 682)	2012
Carthamus	anatolicus	1.50	Garnatje et al., 2006 (Ref. 536)	2011
Panicum	esculentum	1.50	Bennett and Smith, 1976 (Ref. 2)	1976
Reichardia	picroides	1.50	Siljak-Yakovlev et al., 1998 (Ref. 356)	2000
Krigia	virginica	1.50	Bachmann et al., 1975 (Ref. 48)	1976
Clarkia	arcuata	1.50	Narayan, 1978 (Ref. 77)	1982
Carthamus	glaucus	1.50	Garnatje et al., 2006 (Ref. 536)	2011
Brassica	juncea	1.53	Verma and Rees, 1974 (Ref. 27)	1976
Hibiscus	cannabinus	1.53	Bennett et al., 1999 (Ref. 373)	2000
Carthamus	alexandrinus	1.53	Garnatje et al., 2006 (Ref. 536)	2011
Nicotiana	obtusifolia	1.55	Leitch et al., 2008 (Ref. 566)	2011
Coreopsis	bicolor	1.55	Olszewska and Osiecka, 1983 (Ref. 156)	1991
Cosmos	bipinnatus	1.55	Ohri et al., 1988 (Ref. 194)	1995
Celosia	cristata	1.55	Nath et al., 1992 (Ref. 249)	1995
Senecio	viscosus	1.55	Nagl et al., 1983 (Ref. 457)	2005a
Senecio	vulgaris	1.58	Bennett et al., 1976 (Ref. 108)	1991
Brassica	carinata	1.58	Verma and Rees, 1974 (Ref. 27)	1976
Sesamum	occidentale	1.58	Hiremath et al., 2001 (Ref. 446)	2005a
Chenopodium	bushianum	1.59	Ohri, 2002 (Ref. 455)	2005a
Torilis	nodosa	1.60	Le et al., 1978 (Ref. 118)	1991
Sonchus	oleraceus agg.	1.60	Band, 1984 (Ref. 154)	1991
Bidens	frondosa	1.60	Kubesová et al., 2010 (Ref. 630)	2012
Humulus	japonicus	1.60	Grabowska-Joachimiak et al., 2006 (Ref. 543)	2011
Mercurialis	canariensis	1.62	Obbard et al., 2006 (Ref. 544)	2011
Coix	lacryma-jobi	1.63	Bennett and Smith, 1976 (Ref. 2)	1976
Eleusine	coracana	1.63	Bennett and Smith, 1976 (Ref. 2)	1976
Celosia	trigyna	1.63	Nath et al., 1992 (Ref. 249)	1995
Setaria	faberi	1.63	Bennett et al., 1998 (Ref. 375)	2000
Chenopodium	album	1.63	Ohri, 2002 (Ref. 455)	2005a
Celosia	plumosa	1.65	Nath et al., 1992 (Ref. 249)	1995
Celosia	argentea	1.65	Nath et al., 1992 (Ref. 249)	1995
Phaseolus	leucanthus	1.65	Ayonoadu, 1974 (Ref. 28)	1976
Abelmoschus	esculentus	1.65	Bennett et al., 1999 (Ref. 373)	2000
Senecio	glossanthus	1.68	Lawrence, 1985 (Ref. 114)	1991
Sorghum	bicolor	1.68	Laurie and Bennett, 1985 (Ref. 132)	1991
Portulaca	oleraceae	1.68	Bennett et al., 1997 (Ref. 270)	1997
Agrostis	pourretii	1.68	Marañón and Grubb, 1993 (Ref. 274)	1997
Panicum	dichotomiflorum	1.68	Bennett et al., 1998 (Ref. 375)	2000
Sorghum	brachypodum	1.68	Price et al., 2005 (Ref. 511)	2011
Sesamum	alatum	1.69	Hiremath et al., 2001 (Ref. 446)	2005a
Callitriche	palustris	1.70	Pijnacker and Schotsman, 1988 (Ref. 266)	1995
Hedypnois	cretica	1.70	Marañón and Grubb, 1993 (Ref. 274)	1997
Wolffia	angusta	1.70	Wang et al., 2011 (Ref. 683)	2012
Wolffia	microscopica	1.70	Wang et al., 2011 (Ref. 683)	2012
Datura	quercifolia	1.73	Bennett and Smith, 1976 (Ref. 2)	1976
Coleus	blumei	1.73	Galbraith et al., 1983 (Ref. 240)	1995
Bidens	pilosa	1.73	Bennett et al., 1997 (Ref. 270)	1997
Phalaris	paradoxa	1.75	Bennett and Smith, 1976 (Ref. 2)	1976
Borago	officinalis	1.75	Bennett et al., 1999 (Ref. 373)	2000
Anagallis	arvensis	1.75	Bennett et al., 1998 (Ref. 375)	2000
Artemisia	scoparia	1.77	Garcia et al., 2004 (Ref. 521)	2011
Haplopappus	wigginsii	1.78	Jackson et al., 1993 (Ref. 244)	1995
Vicia	lunata	1.83	Maxted et al., 1991 (Ref. 190)	1995
Zingeria	biebersteiniana	1.85	Bennett et al., 1976 (Ref. 108)	1991
Collinsia	verna	1.85	Greenlee et al., 1984 (Ref. 148)	1991
Sonchus	asper	1.85	Bachmann et al., 1975 (Ref. 48)	1976
Sorghum	angustum	1.85	Price et al., 2005 (Ref. 511)	2011
Bromus	pumilio	1.88	Bennett and Smith, 1976 (Ref. 2)	1976
Artemisia	annua	1.88	Geber and Hasibeder, 1980 (Ref. 98)	1982
Chardinia	orientalis	1.88	Garnatje et al., 2004 (Ref. 502)	2011
Daucus	subsessilis	1.90	Owens, 1974 (Ref. 25)	1976
Ranunculus	lateriflorus	1.90	Smith and Bennett, 1975 (Ref. 45)	1976
Xeranthemum	cylindraceum	1.91	Garnatje et al., 2004 (Ref. 502)	2011
Ambrosia	trifida	1.91	Kubesová et al., 2010 (Ref. 630)	2012
Vicia	monantha	1.93	Raina and Rees, 1983 (Ref. 112)	1991
Echinops	nanus	1.93	Garnatje et al., 2004 (Ref. 502)	2011
Crepis	foetida	1.95	Brown and Jone, 1975 (Ref. 42)	1976
Mercurialis	annua	1.95	Obbard et al., 2006 (Ref. 544)	2011
Vicia	cordata	1.98	Raina and Bisht, 1988 (Ref. 189)	1995
Solanum	luteum	2.00	Bennett et al., 1976 (Ref. 108)	1991
Phalaris	caroliniana	2.00	Kadir, 1974 (Ref. 26)	1976
Galinsoga	quadriradiata	2.02	Kubesová et al., 2010 (Ref. 630)	2012
Phalaris	angusta	2.03	Kadir, 1974 (Ref. 26)	1976
Haplopappus	gracilis	2.05	Bennett, 1972 (Ref. 1)	1976
Torilis	arvensis	2.05	Le et al., 1978 (Ref. 118)	1991
Vicia	picta	2.05	Rees et al., 1966 (Ref. 20)	1976
Collinsia	heterophylla	2.05	Greilhuber, 1988 (Ref. 203)	1995
Datura	stramonium	2.05	Arumuganathan and Earle, 1991 (Ref. 227)	1995
Momordica	charantia	2.05	Ingle et al., 1975 (Ref. 69)	1982
Clarkia	amoena	2.05	Narayan, 1978 (Ref. 77)	1982
Bunias	erucago	2.07	Greilhuber and Obermayer, 1999 (Ref. 393)	2005a
Collomia	grandiflora	2.08	Kubesová et al., 2010 (Ref. 630)	2012
Crepis	sancta	2.09	Dimitrova and Greilhuber, 2000 (Ref. 394)	2005a
Sorghum	purpureosericeum	2.09	Price et al., 2005 (Ref. 511)	2011
Agrostemma	githago	2.10	Olszewska and Osiecka, 1983 (Ref. 156)	1991
Guizotia	villosa	2.10	Hiremath et al., 1992 (Ref. 212)	1995
Crepis	capillaris	2.10	Evans et al., 1972 (Ref. 7)	1976
Lolium	canariense	2.13	Hutchinson et al., 1979 (Ref. 102)	1982
Sorghum	versicolor	2.13	Laurie and Bennett, 1985 (Ref. 132)	1991
Clarkia	franciscana	2.13	Narayan, 1978 (Ref. 77)	1982
Impatiens	parviflora	2.13	Kubesová et al., 2010 (Ref. 630)	2012
Atriplex	patula	2.15	Band, 1984 (Ref. 154)	1991
Lolium	italicum	2.15	Rees and Jones, 1967 (Ref. 17)	1976
Datura	meteloides	2.15	Bennett and Smith, 1976 (Ref. 2)	1976
Guizotia	schimperi	2.15	Hiremath et al., 1992 (Ref. 212)	1995
Montia	perfoliata	2.18	Bennett, 1972 (Ref. 1)	1976
Zizania	aquatica	2.18	Barlow, 1981 (Ref. 58)	1982
Chenopodium	giganteum	2.20	Ohri, 2002 (Ref. 455)	2005a
Vicia	dasycarpa	2.20	Raina and Rees, 1983 (Ref. 112)	1991
Xeranthemum	inapertum	2.22	Garnatje et al., 2004 (Ref. 502)	2011
Vicia	amphicarpa	2.23	Martin and Shanks, 1966 (Ref. 19)	1976
Nicotiana	glutinosa	2.24	Leitch et al., 2008 (Ref. 566)	2011
Vicia	eriocarpa	2.25	Raina and Rees, 1983 (Ref. 112)	1991
Vicia	sativa	2.25	Rees et al., 1966 (Ref. 20)	1976
Vicia	angustifolia	2.25	Rees et al., 1966 (Ref. 20)	1976
Hypochaeris	microcephala	2.25	Cerbah et al., 1995 (Ref. 280)	1997
Pennisetum	violaceum	2.25	Martel et al., 1997 (Ref. 308)	2000
Pennisetum	mollissimum	2.25	Martel et al., 1997 (Ref. 308)	2000
Clarkia	rubicunda	2.25	Narayan, 1978 (Ref. 77)	1982
Clarkia	lasseninsis	2.25	Narayan, 1978 (Ref. 77)	1982
Torilis	japonica	2.28	Le et al., 1978 (Ref. 118)	1991
Nicotiana	petunioides	2.28	Narayan, 1987 (Ref. 199)	1995
Datura	innoxia	2.28	Bennett and Smith, 1976 (Ref. 2)	1976
Datura	discolor	2.28	Bennett and Smith, 1976 (Ref. 2)	1976
Vicia	villosa	2.28	Chooi WY., 1971 (Ref. 21)	1976
Digitaria	setigera	2.28	Marie and Brown, 1993 (Ref. 290)	1997
Machaeranthera	parviflora	2.28	Stucky and Jackson, 1975 (Ref. 94)	1982
Consolida	orientalis	2.28	Kubesová et al., 2010 (Ref. 630)	2012
Vulpia	geniculata	2.30	Marañón and Grubb, 1993 (Ref. 274)	1997
Matricaria	matricarioides	2.33	Bennett, 1972 (Ref. 1)	1976
Papaver	ocellatum	2.33	Srivastava and Lavania, 1991 (Ref. 167)	1995
Nicotiana	linearis	2.33	Narayan, 1987 (Ref. 199)	1995
Chenopodium	album	2.33	Bennett et al., 1998 (Ref. 375)	2000
Crepis	setosa	2.33	Brown and Jone, 1975 (Ref. 42)	1976
Vicia	pilosa	2.40	Raina and Rees, 1983 (Ref. 112)	1991
Pennisetum	americanum	2.40	Bennett and Smith, 1987 (Ref. 164)	1995
Vicia	disperma	2.40	Callimassia and Bennett, 1992 (Ref. 269-H)	1995
Carthamus	lanatus	2.40	Garnatje et al., 2006 (Ref. 536)	2011
Nicotiana	undulata	2.42	Leitch et al., 2008 (Ref. 566)	2011
Nicotiana	rotundifolia	2.43	Narayan, 1987 (Ref. 199)	1995
Helianthus	annuus	2.43	Bennett MD, Smith JB, Heslop-Harrison, 1982 (Ref. 55)	1982
Matricaria	discoidea	2.45	Nagl and Ehrendorfer, 1974 (Ref. 32)	1976
Papaver	hybridum	2.48	Srivastava and Lavania, 1991 (Ref. 167)	1995
Nicotiana	attenuata	2.48	Leitch et al., 2008 (Ref. 566)	2011
Arachis	spegazinii	2.50	Resslar et al., 1981 (Ref. 115)	1991
Pennisetum	schweinfurthii	2.50	Martel et al., 1997 (Ref. 308)	2000
Daucus	muricatus	2.53	Owens, 1974 (Ref. 25)	1976
Coriandrum	sativum	2.54	Loureiro et al., 2007 (Ref. 563)	2011
Vicia	palaestina	2.55	Raina and Bisht, 1988 (Ref. 189)	1995
Eleusine	africana	2.55	Hiremath and Salimath, 1991 (Ref. 218)	1995
Cenchrus	echinatus	2.55	Bennett et al., 1998 (Ref. 375)	2000
Senecio	cambrensis	2.58	Bennett and Smith, 1976 (Ref. 2)	1976
Xanthium	albinum	2.59	Kubesová et al., 2010 (Ref. 630)	2012
Papaver	rhoeas	2.63	Bennett and Smith, 1976 (Ref. 2)	1976
Vicia	pubescens	2.63	Chooi WY., 1971 (Ref. 21)	1976
Vicia	lathyroides	2.63	Chooi WY., 1971 (Ref. 21)	1976
Setaria	pumila	2.63	Le et al., 1998 (Ref. 330)	2000
Senecio	teneriffae	2.63	Suda et al., 2003 (Ref. 477)	2011
Collinsia	tinctoria	2.65	Greenlee et al., 1984 (Ref. 148)	1991
Lactuca	sativa	2.65	Michaelson et al., 1991 (Ref. 229)	1995
Zingeria	trichopoda	2.65	Kotseruba et al., 2003 (Ref. 515)	2011
Pennisetum	glaucum	2.68	Bennett and Smith, 1976 (Ref. 2)	1976
Arachis	batizocoi	2.68	Singh et al., 1996 (Ref. 297)	1997
Agrostis	alba	2.68	Sugiyama S., 2005 (Ref. 653)	2012
Silene	latifolia	2.70	Costich et al., 1991 (Ref. 291)	1997
Zea	mays	2.73	Bennett et al., 1976 (Ref. 108)	1991
Callitriche	brutia	2.73	Pijnacker and Schotsman, 1988 (Ref. 266)	1995
Mibora	minima	2.75	Bennett, 1972 (Ref. 1)	1976
Lolium	loliaceum	2.75	Hutchinson et al., 1979 (Ref. 102)	1982
Senecio	crassifolius	2.75	Bennett and Smith, 1976 (Ref. 2)	1976
Papaver	gracile	2.78	Srivastava and Lavania, 1991 (Ref. 167)	1995
Orobanche	picridis	2.79	Weiss-Schneeweiss et al., 2005 (Ref. 531)	2011
Arachis	ipaensis	2.83	Singh et al., 1996 (Ref. 297)	1997
Orobanche	crenata	2.84	Weiss-Schneeweiss et al., 2005 (Ref. 531)	2011
Pennisetum	polystachyon	2.85	Martel et al., 1997 (Ref. 308)	2000
Crepis	rubra	2.85	Brown and Jone, 1975 (Ref. 42)	1976
Achyrocline	flaccida	2.87	Mazzella et al., 2010 (Ref. 660)	2012
Achyrocline	satureioides	2.87	Mazzella et al., 2010 (Ref. 660)	2012
Arachis	hypogaea	2.87	Temsch and Greilhuber, 2000 (Ref. 395)	2005a
Poa	annua	2.88	Bennett, 1972 (Ref. 1)	1976
Milium	vernale	2.88	Bennett and Thomas, 1991 (Ref. 197)	1995
Nicotiana	miersii	2.88	Narayan, 1987 (Ref. 199)	1995
Melandrium	album	2.88	Vagera et al., 1994 (Ref. 231)	1995
Vicia	cirrhosa	2.89	Suda et al., 2005 (Ref. 552)	2011
Briza	minor	2.90	Schifino and Winge, 1983 (Ref. 117)	1991
Papaver	commutatum	2.90	Srivastava and Lavania, 1991 (Ref. 167)	1995
Crepis	neglecta	2.90	Brown and Jone, 1975 (Ref. 42)	1976
Aira	praecox	2.93	Albers, 1980 (Ref. 73)	1982
Xeranthemum	longepapposum	2.93	Garnatje et al., 2004 (Ref. 502)	2011
Nicotiana	paniculata	2.95	Leitch et al., 2008 (Ref. 566)	2011
Achyrocline	crassiuscula	2.95	Mazzella et al., 2010 (Ref. 660)	2012
Nicotiana	corymbosa	2.95	Narayan, 1987 (Ref. 199)	1995
Tolpis	barbata	2.95	Marañón and Grubb, 1993 (Ref. 274)	1997
Ranunculus	alpestris	2.95	Goepfert, 1974 (Ref. 44)	1976
Arachis	monticola	2.95	Temsch and Greilhuber, 2000 (Ref. 395)	2005a
Turgenia	latifolia	2.98	Le et al., 1978 (Ref. 118)	1991
Vicia	biennis	2.98	Chooi WY., 1971 (Ref. 21)	1976
Daucus	littoralis	2.98	Owens, 1974 (Ref. 25)	1976
Cosmos	sulphureus	3.00	Ohri et al., 1988 (Ref. 194)	1995
Nicotiana	exigua	3.00	Narayan, 1987 (Ref. 199)	1995
Crepis	alpina	3.00	Brown and Jone, 1975 (Ref. 42)	1976
Aira	elegantissima	3.00	Albers, 1980 (Ref. 73)	1982
Achyrocline	alata	3.02	Mazzella et al., 2010 (Ref. 660)	2012
Lolium	remotum	3.03	Hutchinson et al., 1979 (Ref. 102)	1982
Aster	riparius	3.03	Stucky and Jackson, 1975 (Ref. 94)	1982
Nicotiana	occidentalis	3.05	Narayan, 1987 (Ref. 199)	1995
Clarkia	concinna	3.05	Narayan, 1978 (Ref. 77)	1982
Rhinanthus	glaber	3.05	Zonneveld et al., 2005 (Ref. 466)	2005b
Nicotiana	pauciflora	3.08	Narayan, 1987 (Ref. 199)	1995
Artemisia	sieversiana	3.09	Garcia et al., 2004 (Ref. 521)	2011
Solanum	nigrum	3.10	Bennett et al., 1976 (Ref. 108)	1991
Papaver	glaucum	3.10	Srivastava and Lavania, 1991 (Ref. 167)	1995
Stephanomeria	exigua	3.13	Narayan, 1978 (Ref. 77)	1982
Senecio	gregorii	3.15	Lawrence, 1985 (Ref. 114)	1991
Nicotiana	gossei	3.15	Narayan, 1987 (Ref. 199)	1995
Xanthium	strumarium	3.15	Bennett et al., 1998 (Ref. 375)	2000
Clarkia	deflexa	3.15	Narayan, 1978 (Ref. 77)	1982
Nicotiana	knightiana	3.16	Leitch et al., 2008 (Ref. 566)	2011
Iva	xanthiifolia	3.17	Kubesová et al., 2010 (Ref. 630)	2012
Lolium	persicum	3.18	Hutchinson et al., 1979 (Ref. 102)	1982
Helianthus	neglectus	3.20	Sims and Price, 1985 (Ref. 116)	1991
Desmazeria	sicula	3.20	Bennett and Smith, 1987 (Ref. 164)	1995
Nicotiana	benthamiana	3.20	Narayan, 1987 (Ref. 199)	1995
Bidens	connata	3.22	Kubesová et al., 2010 (Ref. 630)	2012
Ranunculus	sardous	3.23	Smith and Bennett, 1975 (Ref. 45)	1976
Nicotiana	maritima	3.25	Narayan, 1987 (Ref. 199)	1995
Bromus	tectorum	3.25	Bennett and Smith, 1976 (Ref. 2)	1976
Acantholepis	orientalis	3.26	Garnatje et al., 2004 (Ref. 502)	2011
Periballia	involucrata	3.28	Albers, 1980 (Ref. 73)	1982
Helianthus	debilis	3.30	Sims and Price, 1985 (Ref. 116)	1991
Nicotiana	acuminata	3.30	Narayan, 1987 (Ref. 199)	1995
Sorghum	versicolor	3.34	Price et al., 2005 (Ref. 511)	2011
Bromus	sterilis	3.35	Bennett and Smith, 1976 (Ref. 2)	1976
Vicia	grandiflora	3.35	Chooi WY., 1971 (Ref. 21)	1976
Nicotiana	excelsior	3.38	Narayan, 1987 (Ref. 199)	1995
Crepis	tectorum	3.38	Brown and Jone, 1975 (Ref. 42)	1976
Helianthus	petiolaris	3.40	Sims and Price, 1985 (Ref. 116)	1991
Desmazeria	rigidum	3.40	Bennett and Smith, 1987 (Ref. 164)	1995
Sorghum	roxburghii	3.43	Paroda and Rees, 1971 (Ref. 18)	1976
Hordeum	euclaston	3.43	Jakob et al., 2004 (Ref. 491)	2011
Phelipanche	nana	3.43	Weiss-Schneeweiss et al., 2005 (Ref. 531)	2011
Claytonia	alsinoides	3.45	Kubesová et al., 2010 (Ref. 630)	2012
Senecio	bipinnatisectus	3.50	Lawrence, 1985 (Ref. 114)	1991
Vicia	qatmensis	3.50	Maxted et al., 1991 (Ref. 190)	1995
Cuminum	cyminum	3.50	Chattopadhyay and Sharma, 1990 (Ref. 206)	1995
Lagurus	ovatus	3.50	Bennett et al., 1999 (Ref. 373)	2000
Hordeum	intercedens	3.51	Jakob et al., 2004 (Ref. 491)	2011
Helianthus	praecox	3.53	Sims and Price, 1985 (Ref. 116)	1991
Carthamus	creticus	3.53	Garnatje et al., 2006 (Ref. 536)	2011
Euchlaena	mexicana	3.55	Barlow and Rathfelder, 1984 (Ref. 123)	1991
Celosia	argentea	3.55	Nath et al., 1992 (Ref. 249)	1995
Nicotiana	nudicaulis	3.56	Leitch et al., 2008 (Ref. 566)	2011
Senecio	discifolius	3.58	Lawrence, 1985 (Ref. 114)	1991
Vicia	tetrasperma	3.60	Raina and Bisht, 1988 (Ref. 189)	1995
Tuberaria	guttata	3.61	Zonneveld et al., 2005 (Ref. 466)	2005b
Vicia	barbazitae	3.63	Maxted et al., 1991 (Ref. 190)	1995
Helianthus	niveus	3.65	Sims and Price, 1985 (Ref. 116)	1991
Xolantha	guttata	3.65	Boscaiu et al., 2008 (Ref. 567)	2011
Phalaris	brachystachys	3.70	Kadir, 1974 (Ref. 26)	1976
Papaver	dubium	3.73	Srivastava and Lavania, 1991 (Ref. 167)	1995
Carthamus	turkestanicus	3.73	Garnatje et al., 2006 (Ref. 536)	2011
Senecio	glossanthus	3.75	Lawrence, 1985 (Ref. 114)	1991
Alocasia	hilobeauty	3.76	Ghosh et al., 2001 (Ref. 411)	2005a
Papaver	somniferum	3.80	Bennett, 1972 (Ref. 1)	1976
Chamaemelum	mixtum	3.80	Nagl and Ehrendorfer, 1974 (Ref. 32)	1976
Phalaris	canariensis	3.83	Kadir, 1974 (Ref. 26)	1976
Sorghum	amplum	3.85	Price et al., 2005 (Ref. 511)	2011
Guizotia	abyssinica	3.85	Hiremath et al., 1992 (Ref. 212)	1995
Matricaria	chamomilla	3.88	Nagl and Ehrendorfer, 1974 (Ref. 32)	1976
Nicotiana	goodspeedii	3.90	Narayan, 1987 (Ref. 199)	1995
Rhinanthus	minor	3.95	Nagl and Fusenig, 1979 (Ref. 81)	1982
Vicia	hirsuta	3.98	Callimassia and Bennett, 1992 (Ref. 269-H)	1995
Papaver	setigerum	4.00	Srivastava and Lavania, 1991 (Ref. 167)	1995
Avena	strigosa	4.00	Bennett and Smith, 1976 (Ref. 2)	1976
Ranunculus	sceleratus	4.00	Smith and Bennett, 1975 (Ref. 45)	1976
Nicotiana	clevelandii	4.14	Leitch et al., 2008 (Ref. 566)	2011
Nicotiana	plumbaginifolia	4.15	Narayan, 1987 (Ref. 199)	1995
Vicia	epetiolaris	4.15	Naranjo et al., 1998 (Ref. 415)	2005a
Nicotiana	bigelovii	4.18	Narayan, 1987 (Ref. 199)	1995
Phelipanche	mutelii	4.19	Weiss-Schneeweiss et al., 2005 (Ref. 531)	2011
Vicia	ervilia	4.20	Raina and Rees, 1983 (Ref. 112)	1991
Lens	culinaris	4.20	Arumuganathan and Earle, 1991 (Ref. 227)	1995
Nicotiana	quadrivalvis	4.25	Leitch et al., 2008 (Ref. 566)	2011
Phelipanche	pulchella	4.27	Weiss-Schneeweiss et al., 2005 (Ref. 531)	2011
Delphinium	consolida	4.28	Bennett and Smith, 1976 (Ref. 2)	1976
Carduus	pycnocephalus	4.28	Marañón and Grubb, 1993 (Ref. 274)	1997
Vicia	galeata	4.30	Chooi WY., 1971 (Ref. 21)	1976
Vicia	vicioides	4.33	Raina and Rees, 1983 (Ref. 112)	1991
Vicia	incisaeformis	4.33	Raina and Rees, 1983 (Ref. 112)	1991
Nicotiana	langsdorffii	4.35	Narayan, 1987 (Ref. 199)	1995
Taeniatherum	caput-medusae	4.38	Bennett MD, Smith JB, Heslop-Harrison, 1982 (Ref. 55)	1982
Helianthus	bolanderi	4.40	Sims and Price, 1985 (Ref. 116)	1991
Sorghum	virgatum	4.40	Paroda and Rees, 1971 (Ref. 18)	1976
Avena	hirtula	4.40	Bennett and Smith, 1976 (Ref. 2)	1976
Avena	nudi-brevis	4.40	Bullen and Rees, 1972 (Ref. 34)	1976
Ranunculus	chius	4.40	Smith and Bennett, 1975 (Ref. 45)	1976
Helianthus	argophyllus	4.43	Sims and Price, 1985 (Ref. 116)	1991
Pisum	humile	4.43	Baranyi and Greilhuber, 1996 (Ref. 305)	1997
Pisum	elatius	4.43	Baranyi and Greilhuber, 1996 (Ref. 305)	1997
Vicia	nana	4.47	Naranjo et al., 1998 (Ref. 415)	2005a
Heteranthelium	piliferum	4.48	Bennett et al., 1976 (Ref. 108)	1991
Lathyrus	angulatus	4.48	Evans et al., 1972 (Ref. 7)	1976
Papaver	dubium	4.50	Bennett and Smith, 1976 (Ref. 2)	1976
Phalaris	minor	4.50	Kadir, 1974 (Ref. 26)	1976
Ranunculus	pensylvanicus	4.50	Goepfert, 1974 (Ref. 44)	1976
Xolantha	guttata	4.50	Boscaiu et al., 2008 (Ref. 567)	2011
Sorghum	sudanense	4.53	Paroda and Rees, 1971 (Ref. 18)	1976
Foeniculum	vulgare	4.55	Das and Mallick, 1989 (Ref. 238)	1995
Zea	luxurians	4.58	Laurie and Bennett, 1985 (Ref. 132)	1991
Vicia	bithynica	4.58	Chooi WY., 1971 (Ref. 21)	1976
Lens	esculenta	4.60	Bennett and Smith, 1976 (Ref. 2)	1976
Oxalis	refracta	4.63	De Azkue and Martínez, 1984 (Ref. 169)	1995
Vicia	cuspidata	4.63	Maxted et al., 1991 (Ref. 190)	1995
Aegilops	caudata	4.63	Furuta, 1970 (Ref. 3)	1976
Aegilops	cylindrica	4.65	Furuta, 1970 (Ref. 3)	1976
Daucus	blanchei	4.68	Owens, 1974 (Ref. 25)	1976
Pisum	fulvum	4.70	Baranyi and Greilhuber, 1996 (Ref. 305)	1997
Bromus	flabellatus	4.70	Bennett MD, Smith JB, Heslop-Harrison, 1982 (Ref. 55)	1982
Phelipanche	ramosa	4.71	Weiss-Schneeweiss et al., 2005 (Ref. 531)	2011
Taeniatherum	crititum	4.73	Bennett and Smith, 1987 (Ref. 164)	1995
Avena	brevis	4.73	Bennett and Smith, 1976 (Ref. 2)	1976
Avena	pilosa	4.73	Bennett and Smith, 1976 (Ref. 2)	1976
Vicia	neglecta	4.73	Chooi WY., 1971 (Ref. 21)	1976
Pisum	abyssinicum	4.73	Baranyi and Greilhuber, 1996 (Ref. 305)	1997
Vicia	pampicola	4.74	Naranjo et al., 1998 (Ref. 415)	2005a
Lathyrus	amphicarpos	4.75	Bennett and Smith, 1976 (Ref. 2)	1976
Senecio	hispidulus	4.78	Lawrence, 1985 (Ref. 114)	1991
Senecio	glomeratus	4.80	Lawrence, 1985 (Ref. 114)	1991
Helianthus	exilis	4.80	Sims and Price, 1985 (Ref. 116)	1991
Sorghum	caudatum	4.80	Paroda and Rees, 1971 (Ref. 18)	1976
Avena	abyssinica	4.80	Bennett and Smith, 1976 (Ref. 2)	1976
Anthemis	austriaca	4.83	Nagl and Ehrendorfer, 1974 (Ref. 32)	1976
Bromus	rubens	4.85	Bennett and Smith, 1976 (Ref. 2)	1976
Bromus	scoparius	4.85	Bennett and Smith, 1976 (Ref. 2)	1976
Celosia	whiteii	4.85	Nath et al., 1992 (Ref. 249)	1995
